iris_id,pc_inscrits
595120303,0.09
595120401,0.1
595121002,0.11
595120402,0.11
595120702,0.1
595120602,0.19
595120502,0.11
595120201,0.14
595121001,0.1
595120102,0.15
595120301,0.1
595120503,0.14
595121103,0.06
595121203,0.11
595121302,0.07
595121102,0.05
595121202,0.09
595120501,0.1
595120403,0.13
595120801,0.13
595120902,0.13
595120101,0.12
595120903,0.13
595120703,0.14
595120901,0.11
595121003,0.12
595120802,0.15
595120202,0.08
595121101,0.02
595121201,0.12
595120203,0.08
595120601,0.26
595120504,0.2
595121301,0.1
595120803,0.14
595120603,0.14
595120302,0.09
595120701,0.13
